Recorded date;Event date;Event name;Movie ID;Movie title;Scene ID;Scene title;Visitor;Session ID;Additional information
2026-07-13 14:11:07;2026-07-13 14:11:07;onlineev;showtime;TilBuci Showtime;8b30f266035cda8cc1921904c799657c;Events;;2026-07-13_14:10:10_394c507c6248;["a","b","c"]
2026-07-13 14:11:11;2026-07-13 14:11:11;onlineev;showtime;TilBuci Showtime;8b30f266035cda8cc1921904c799657c;Events;;2026-07-13_14:10:10_394c507c6248;["a","b","c"]
2026-07-13 14:11:12;2026-07-13 14:11:12;onlineev;showtime;TilBuci Showtime;8b30f266035cda8cc1921904c799657c;Events;;2026-07-13_14:10:10_394c507c6248;["a","b","c"]
2026-07-13 14:11:13;2026-07-13 14:11:13;onlineev;showtime;TilBuci Showtime;8b30f266035cda8cc1921904c799657c;Events;;2026-07-13_14:10:10_394c507c6248;["a","b","c"]
